videoid,fps,n_frames,video_duration_sec,audio_duration_sec
1-30-1280x720,30.0,10355,345.1666666666667,345.1946875
10-60-1280x720,30.0,2501,83.36666666666666,83.359625
100-29-1080x1920,30.0,2639,87.96666666666667,88.026875
101-30-1080x1920,30.0,5153,171.76666666666668,171.8973125
102,25.0,4777,191.08,191.08
102-30-640x360,30.0,2983,99.43333333333334,99.5671875
103,30.0,26617,887.2333333333333,887.233375
103-30-384x480,30.0,771,25.7,25.7509375
104-17-720x480,30.0,2425,80.83333333333333,81.060875
105,29.97002997002997,10076,336.20253333333335,336.2025625
105-30-1280x720,30.0,1501,50.03333333333333,50.06225
106,23.976023976023978,8163,340.465125,340.465125
106-30-720x1280,30.0,1404,46.8,46.857875
107,29.97002997002997,5315,177.34383333333335,177.3438125
107-30-640x480,30.0,73,2.433333333333333,2.623875
108,23.976023976023978,4678,195.11158333333333,195.111625
108-15-640x480,30.0,478,15.933333333333334,16.1843125
109-30-1280x720,30.0,1045,34.833333333333336,34.9460625
11-24-1920x1080,30.0,5389,179.63333333333333,179.648
110,30.0,5504,183.46666666666667,183.4666875
110-30-270x480,30.0,9978,332.6,332.6490625
111,29.97002997002997,7246,241.77486666666667,241.774875
111-25-1920x1080,30.0,771,25.7,27.7943125
112,23.976023976023978,5915,246.70479166666664,246.7048125
112-30-640x360,30.0,6002,200.06666666666666,200.0399375
113,29.97002997002997,15020,501.1673333333333,501.1673125
113-60-1280x720,30.0,4022,134.06666666666666,134.0255625
114,29.97002997002997,2449,81.71496666666667,81.715
114-30-1280x720,30.0,3662,122.06666666666666,122.020875
115-30-1280x720,30.0,4081,136.03333333333333,136.0225
116,30.0,2517,83.9,83.9
116-30-1280x720,30.0,6183,206.1,206.0306875
117,29.97002997002997,5465,182.34883333333335,182.348875
117-25-1920x1080,30.0,4081,136.03333333333333,136.0225
118,29.97002997002997,587,19.586233333333332,19.58625
118-30-640x480,30.0,2420,80.66666666666667,75.046875
119,23.976023976023978,4576,190.85733333333332,190.8573125
12-24-1920x1080,30.0,5685,189.5,189.5253125
120,25.0,3591,143.64,143.64
120-30-1280x720,30.0,15041,501.3666666666667,501.0401875
121,29.97002997002997,4413,147.2471,147.247125
121-24-1920x1080,30.0,10628,354.26666666666665,354.2900625
122,29.97002997002997,4127,137.70423333333335,137.70425
122-60-1920x1080-1,30.0,7862,262.06666666666666,262.014
122-60-1920x1080-2,30.0,7172,239.06666666666666,239.02625
122-60-1920x1080-3,30.0,9243,308.1,308.0359375
122-60-1920x1080-4,30.0,7683,256.1,256.02325
123,29.97002997002997,9776,326.19253333333336,326.1925625
123-25-1920x1080,30.0,27241,908.0333333333333,908.1091875
124-30-720x1280,30.0,10494,349.8,350.1105
125,29.97002997002997,4365,145.6455,145.6455
125-25-1280x720,30.0,6841,228.03333333333333,228.0199375
126,29.97002997002997,6286,209.74286666666666,209.742875
127,29.97002997002997,8123,271.03743333333335,271.0374375
127-30-1280x720,30.0,2213,73.76666666666667,73.8394375
128,30.0,6286,209.53333333333333,209.533375
128-24-1920x1080,30.0,3812,127.06666666666666,127.0131875
129-24-1280x720,30.0,6153,205.1,205.009
13-30-1920x1080,30.0,7399,246.63333333333333,246.656
130,29.97002997002997,4001,133.50003333333333,133.5000625
131,23.976023976023978,4777,199.24070833333332,199.2406875
131-30-1920x1080,30.0,8012,267.06666666666666,267.00625
132,29.97002997002997,5659,188.82196666666667,188.8219375
132-30-426x240,30.0,992,33.06666666666667,33.0188125
133,23.976023976023978,460,19.18583333333333,19.1858125
133-30-1280x720,30.0,2403,80.1,80.0159375
134,15.452,1789,115.7778928294072,115.777875
135,23.976023976023978,3591,149.774625,149.774625
135-24-1920x1080,30.0,9423,314.1,314.0266875
136,25.0,4487,179.48,179.48
137,30.0,4786,159.53333333333333,159.533375
137-30-1920x1080,30.0,8552,285.06666666666666,285.00225
